index,Ru1,Ru2,Ru3,v1,v2,v3,v4,v5,boundrary area (m2),length (m),width (m),travel length (m),mobile robot travel time (min),number of assembly sequences,robot viability rating [roof panels] (0 to 1),number of roof panels,robot viability rating [wall panels] (0 to 1),number of wall panels,total number of panels,total weight (kg),embodied carbon (kgCO2e),max deflection (cm),required quantity of CLT master panels for fabrication,number of assembly sequences requiring extra support
0,6,2,3,2,64,54,1,0,110,11,10,2046,76,33,0.45,33,0.53,52,85,8338.85805,3644,0.268813,3.12,8
1,2,7,13,1,62,65,0,1,88,8,11,1934,72,32,0.5,32,0.58,47,79,7724.084407,3375,0.231755,3.02,7
2,4,10,0,0,44,39,2,0,110,11,10,2165,81,32,0.49,32,0.44,53,85,8658.596526,3784,0.268789,3.06,7
3,5,21,15,1,66,45,1,0,110,10,11,1823,68,33,0.48,33,0.53,50,83,8284.736207,3620,0.275737,3.15,10
4,3,0,4,0,64,60,1,1,112,14,8,1911,71,32,0.45,32,0.63,49,81,7930.008853,3465,0.241238,2.94,7
5,0,4,14,1,42,52,0,1,110,11,10,1668,62,32,0.44,32,0.59,49,81,8418.780306,3679,0.29502,3.21,8
6,5,8,2,0,33,62,2,0,88,8,11,1869,70,33,0.45,33,0.51,51,84,8616.228609,3765,0.260984,3.23,9
7,7,8,13,1,62,46,1,2,72,18,4,2400,89,32,0.42,32,0.51,52,84,8477.107024,3704,0.255947,3.14,6
8,7,13,5,1,34,53,1,1,98,14,7,2195,82,35,0.5,35,0.57,50,85,8476.289268,3704,0.226175,3.15,8
9,7,7,10,0,35,62,1,0,110,11,10,2370,88,32,0.46,32,0.57,48,80,8309.475367,3631,0.311301,3.04,8
10,6,12,11,3,40,36,1,1,110,10,11,1800,67,34,0.49,34,0.56,49,83,8574.994106,3747,0.26508,3.22,10
11,0,18,15,1,68,60,2,1,121,11,11,2153,80,34,0.51,34,0.54,52,86,8138.152968,3556,0.251926,2.96,8
12,2,4,5,2,31,48,2,0,88,8,11,1790,67,33,0.44,33,0.53,50,83,8749.01843,3823,0.27388,3.26,11
13,5,21,1,3,58,44,0,1,110,10,11,1922,72,33,0.51,33,0.56,51,84,8369.186448,3657,0.251956,3.03,8
14,4,2,11,1,66,43,2,1,121,11,11,2348,88,34,0.48,34,0.56,51,85,8380.250774,3662,0.310115,3.12,9
15,3,3,9,2,48,36,1,1,72,18,4,2370,88,32,0.41,32,0.53,51,83,8850.932434,3868,0.272015,3.41,9
16,6,1,13,3,61,48,1,0,84,7,12,1794,67,35,0.5,35,0.52,50,85,8250.285837,3605,0.280536,2.95,9
17,1,0,12,2,67,58,1,2,105,7,15,2280,85,37,0.51,37,0.57,52,89,8161.765562,3567,0.253606,3.06,9
